,Case,acqlabel,acq_id,PhaseEncodingDirection_fmap,EffectiveEchoSpacing_fmap,TotalReadoutTime_fmap,RepetitionTime_fmap,EchoTime_fmap
330,sub-NDARCH881EFG/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de8a4b440116e005bcfa209,j,0.000414993,0.0427443,3.32,0.1002
331,sub-NDARCK647MU6/ses-HBNsiteRU/fmap,acq-dwi_dir-AP_epi,5de8a9f240116e0057bcaf22,j-,0.000414993,0.0427443,3.32,0.1002
332,sub-NDARCK647MU6/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de8a9f340116e0057bcaf23,j,0.000414993,0.0427443,3.32,0.1002
333,sub-NDARCL016NHB/ses-HBNsiteRU/fmap,acq-dwi_dir-AP_epi,5de8ac4140116e005bcfa3b4,j-,0.000414993,0.0427443,3.32,0.1002
334,sub-NDARCL016NHB/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de8ac4240116e005bcfa3b5,j,0.000414993,0.0427443,3.32,0.1002
335,sub-NDARCL105LUE/ses-HBNsiteRU/fmap,acq-dwi_dir-AP_epi,5de8acb140116e005bcfa3c8,j-,0.000414993,0.0427443,3.32,0.1002
336,sub-NDARCL105LUE/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de8acb240116e0058c50209,j,0.000414993,0.0427443,3.32,0.1002
337,sub-NDARCU118LMX/ses-HBNsiteRU/fmap,acq-dwi_dir-AP_epi,5de8b7f540116e005bcfa5d3,j-,0.000414993,0.0427443,3.32,0.1002
338,sub-NDARCU118LMX/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de8b7f640116e005bcfa5d6,j,0.000414993,0.0427443,3.32,0.1002
339,sub-NDARCU865PBV/ses-HBNsiteRU/fmap,acq-dwi_dir-AP_epi,5de8bb8740116e005bcfa664,j-,0.000414993,0.0427443,3.32,0.1002
340,sub-NDARCU865PBV/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de8bb8840116e005bcfa666,j,0.000414993,0.0427443,3.32,0.1002
