,Case,acqlabel,acq_id,PhaseEncodingDirection_dwi,EffectiveEchoSpacing_dwi,TotalReadoutTime_dwi,RepetitionTime_dwi,EchoTime_dwi
142,sub-NDARRJ989YPA/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df49d11d566950078c128cc,j-,0.000414993,0.0427443,3.32,0.1002
143,sub-NDARRK882CLT/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df49dcdd56695005bc0791d,j-,0.000414993,0.0427443,3.32,0.1002
144,sub-NDARRL685WB7/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df49e71d56695006cc0c4cb,j-,0.000414993,0.0427443,3.32,0.1002
145,sub-NDARRT038VG1/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df49f05d56695006cc0c4d8,j-,0.000414993,0.0427443,3.32,0.1002
146,sub-NDARTH473LF8/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df4a00ad56695006cc0c4e8,j-,0.000414993,0.0427443,3.32,0.1002
147,sub-NDARTN487KDK/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df4a0add566950078c12940,j-,0.000414993,0.0427443,3.32,0.1002
148,sub-NDARTT194LTU/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df4a1d5d56695006cc0c4fe,j-,0.000414993,0.0427443,3.32,0.1002
149,sub-NDARTU777GVV/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df4a272d566950059c05bc7,j-,0.000414993,0.0427443,3.32,0.1002
150,sub-NDARTW850GHU/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df4a31fd566950057c03ea6,j-,0.000414993,0.0427443,3.32,0.1002
151,sub-NDARTW889JN9/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df4a3c3d56695006cc0c51b,j-,0.000414993,0.0427443,3.32,0.1002
152,sub-NDARTX795AKR/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df4a452d56695005bc07941,j-,0.000414993,0.0427443,3.32,0.1002
153,sub-NDARUC851WHU/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df4a4c5d566950053c02878,j-,0.000414993,0.0427443,3.32,0.1002
154,sub-NDARUG323DM3/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df4a5ecd566950059c05bd6,j-,0.000414993,0.0427443,3.32,0.1002
155,sub-NDARUL456EER/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df4a68ed566950078c129fc,j-,0.000414993,0.0427443,3.32,0.1002
